Matches,RNA,Protein
28,Control1protein.fasta,sequence10.fasta-align.hmm
33,Control2protein.fasta,sequence10.fasta-align.hmm
113,Obese1protein.fasta,sequence10.fasta-align.hmm
106,Obese2protein.fasta,sequence10.fasta-align.hmm
25,Control1protein.fasta,sequence1.fasta-align.hmm
33,Control2protein.fasta,sequence1.fasta-align.hmm
15,Obese1protein.fasta,sequence1.fasta-align.hmm
14,Obese2protein.fasta,sequence1.fasta-align.hmm
25,Control1protein.fasta,sequence2.fasta-align.hmm
33,Control2protein.fasta,sequence2.fasta-align.hmm
29,Obese1protein.fasta,sequence2.fasta-align.hmm
28,Obese2protein.fasta,sequence2.fasta-align.hmm
25,Control1protein.fasta,sequence6.fasta-align.hmm
33,Control2protein.fasta,sequence6.fasta-align.hmm
33,Obese1protein.fasta,sequence6.fasta-align.hmm
31,Obese2protein.fasta,sequence6.fasta-align.hmm
31,Control1protein.fasta,sequence8.fasta-align.hmm
33,Control2protein.fasta,sequence8.fasta-align.hmm
51,Obese1protein.fasta,sequence8.fasta-align.hmm
51,Obese2protein.fasta,sequence8.fasta-align.hmm
28,Control1protein.fasta,sequence9.fasta-align.hmm
33,Control2protein.fasta,sequence9.fasta-align.hmm
64,Obese1protein.fasta,sequence9.fasta-align.hmm
71,Obese2protein.fasta,sequence9.fasta-align.hmm


