Matches,RNA,Protein
28,Control1protein.fasta,Snypr
33,Control2protein.fasta,Snypr
113,Obese1protein.fasta,Snypr
106,Obese2protein.fasta,Snypr
25,Control1protein.fasta,Yc2
33,Control2protein.fasta,Yc2
15,Obese1protein.fasta,Yc2
14,Obese2protein.fasta,Yc2
25,Control1protein.fasta,Asc-2
33,Control2protein.fasta,Asc-2
29,Obese1protein.fasta,Asc-2
28,Obese2protein.fasta,Asc-2
25,Control1protein.fasta,Ptpn5
33,Control2protein.fasta,Ptpn5
33,Obese1protein.fasta,Ptpn5
31,Obese2protein.fasta,Ptpn5
31,Control1protein.fasta,Atp12A
33,Control2protein.fasta,Atp12A
51,Obese1protein.fasta,Atp12A
51,Obese2protein.fasta,Atp12A
28,Control1protein.fasta,Lhx2
33,Control2protein.fasta,Lhx2
64,Obese1protein.fasta,Lhx2
71,Obese2protein.fasta,Lhx2


